ticket_id,pnr,passenger_name,route,start_station,end_station,travel_date,booking_date,class,seat,price,currency,ticket_type,booking_channel,days_until_travel,price_per_km,booking_frequency,time_taken_sec,login_frequency,device_type,ip_change_flag,is_fraud
15,UM24288369,Chaaya Bhattacharyya,Ranchi → Lucknow,Ranchi,Lucknow,2026-04-06,2026-03-15,General,S3,1142.23,INR,bus,official_app,22,1.109,4,35,5,desktop,0,0
16,TK26014325,Oliver Golla,Chandigarh → Udaipur,Chandigarh,Udaipur,2025-01-31,2025-02-10,First Class,71C,2817.65,INR,train,official_app,-10,3.432,8,99,3,desktop,0,1
17,DJ96187797,Fiyaz Rastogi,Surat → Bangalore,Surat,Bangalore,2030-09-10,2026-07-06,AC Sleeper,S35,3825.65,INR,bus,reseller,1527,3.0605,5,58,1,mobile,1,1
18,NI44338574,Ojasvi Yadav,Udaipur → Bhubaneswar,Udaipur,Bhubaneswar,2025-08-30,2025-06-20,Business,23A,12422.77,INR,flight,official_app,71,10.7371,1,79,6,desktop,0,0
19,LF37395726,Lakshmi Ratti,Jaipur → Bhopal,Jaipur,Bhopal,2026-01-20,2025-12-12,Sleeper,S43,968.31,INR,bus,official_website,39,2.2108,2,56,1,desktop,0,0
20,ABBA,Bhavika Sibal,Chandigarh → Jodhpur,Chandigarh,Jodhpur,2026-04-25,2026-03-23,General,72D,325.81,INR,train,official_website,33,0.5746,10,76,3,unknown,0,1
21,GT82346795,Gagan Sule,Nagpur → Visakhapatnam,Nagpur,Visakhapatnam,2025-11-19,2025-09-26,AC Sleeper,S12,1820.52,INR,bus,official_app,54,3.0393,3,38,10,mobile,0,0
22,VF33343795,Ranveer Agate,Kochi → Indore,Kochi,Indore,2030-10-13,2026-04-30,Business,11C,9084.18,INR,flight,official_app,1627,11.4266,3,68,5,unknown,0,1
23,PP56490739,Edhitha Mahajan,Nagpur → Amritsar,Nagpur,Amritsar,2026-07-20,2026-06-04,AC Sleeper,S31,1156.63,INR,bus,official_website,46,2.9431,2,90,4,mobile,1,0
24,KF20221244,Ekantika Babu,Lucknow → Agra,Lucknow,Agra,2025-11-22,2025-11-17,AC Seater,S20,877.37,INR,bus,official_website,5,2.3713,1,36,7,tablet,0,0
25,SV15736341,Warinder Peri,Thiruvananthapuram → Ranchi,Thiruvananthapuram,Ranchi,2026-01-22,2026-01-17,First Class,33A,4432.72,INR,train,official_website,5,3.4848,1,54,10,mobile,0,0
26,RZ02959360,Avni Nagy,Hyderabad → Amritsar,Hyderabad,Amritsar,2025-01-27,2025-01-03,Economy,8E,2919.83,INR,flight,official_website,24,7.002,3,101,2,desktop,0,0
27,HN35844280,Laksh Sahota,Jodhpur → Bhubaneswar,Jodhpur,Bhubaneswar,2027-01-08,2026-12-02,AC Seater,S49,2350.91,INR,bus,official_website,37,2.4337,4,79,8,tablet,0,0
28,CK86352385,Vrishti Dhar,Mumbai → Bhubaneswar,Mumbai,Bhubaneswar,2025-04-02,2025-03-03,Economy,8D,2373.28,INR,flight,dark_web,30,1.2829,23,4,5,unknown,0,1
29,XZ74494524,Aashi Chandran,Bangalore → Agra,Bangalore,Agra,2025-08-21,2025-08-13,Business,19C,22667.0,INR,flight,official_website,8,9.8552,7,112,3,tablet,1,1
30,TW65896511,Libni Devan,Mysore → Bhopal,Mysore,Bhopal,2025-04-22,2025-03-15,Business,3F,6203.13,INR,flight,official_website,38,13.2546,4,34,3,desktop,0,0
31,KW64294792,Vedant Devi,Indore → Visakhapatnam,Indore,Visakhapatnam,2025-11-22,2025-11-17,General,45C,505.29,INR,train,official_website,5,0.4983,3,40,3,mobile,0,0
32,IN86422296,Akshay Chandra,Chandigarh → Jodhpur,Chandigarh,Jodhpur,2026-10-22,2026-09-03,Business,23A,1838.36,INR,flight,dark_web,49,2.0772,24,10,3,unknown,0,1
33,XC84697762,Jagat Patel,Goa → Jodhpur,Goa,Jodhpur,2025-02-22,2025-01-24,AC 3 Tier,68C,2134.29,INR,train,official_website,29,1.789,2,91,4,tablet,1,0
34,AR36543806,Matthew Kala,Jodhpur → Jaipur,Jodhpur,Jaipur,2026-03-03,2026-02-07,AC 3 Tier,14B,601.32,INR,train,official_app,24,1.7686,1,46,9,mobile,0,0
35,CF21052956,Priya Rastogi,Kolkata → Amritsar,Kolkata,Amritsar,2026-11-03,2026-08-27,AC 3 Tier,17D,2192.75,INR,train,official_website,68,1.8411,1,103,5,tablet,0,0
36,QY34213060,Varenya Ratti,Delhi → Amritsar,Delhi,Amritsar,2026-01-12,2025-12-01,Economy,7D,3107.66,INR,flight,official_website,42,6.9059,1,114,5,tablet,0,0
37,ZJ44576043,Isha Kothari,Jodhpur → Bangalore,Jodhpur,Bangalore,2026-01-19,2025-12-31,AC 3 Tier,15B,3667.16,INR,train,official_website,19,1.7889,5,90,7,desktop,0,0
38,SO24839447,Meera Prakash,Goa → Amritsar,Goa,Amritsar,2025-11-23,2025-11-04,AC 2 Tier,57D,577.35,INR,train,official_website,19,2.3857,3,73,6,mobile,0,0
39,DG27116719,William Mannan,Jodhpur → Lucknow,Jodhpur,Lucknow,2025-10-12,2025-10-20,AC Sleeper,S4,3028.66,INR,bus,official_website,-8,3.0166,3,103,1,tablet,0,1
40,ME05513968,Vedika Solanki,Bhopal → Patna,Bhopal,Patna,2025-03-01,2025-01-12,Business,4C,13357.3,INR,flight,official_website,48,10.5258,3,54,9,tablet,0,0
41,JV44763827,Om Shankar,Kolkata → Ahmedabad,Kolkata,Ahmedabad,2025-07-31,2025-05-06,AC 2 Tier,23C,2514.15,INR,train,official_app,86,2.4268,3,56,1,desktop,0,0
42,BZ20454072,Vrinda Mahal,Delhi → Amritsar,Delhi,Amritsar,2026-05-23,2026-03-03,Business,11F,6000.27,INR,flight,official_app,81,13.3339,3,47,5,desktop,0,0
43,CY83482581,Krishna Morar,Mysore → Surat,Mysore,Surat,2026-02-02,2026-01-20,General,67A,45.41,INR,train,official_app,13,0.0458,6,38,5,mobile,0,1
44,FN32149334,Nicholas Dara,Chennai → Kochi,Chennai,Kochi,2026-05-19,2026-03-06,General,46C,1842.66,INR,train,official_website,74,2.5593,5,11,5,mobile,1,1
45,CZ19497466,Avni Dey,Jodhpur → Thiruvananthapuram,Jodhpur,Thiruvananthapuram,2027-03-20,2026-12-22,Economy,21F,8176.01,INR,flight,official_website,88,5.5132,2,106,7,tablet,0,0
46,HI18249733,Atharv Kalita,Chennai → Patna,Chennai,Patna,2026-02-05,2025-11-23,Economy,4F,565.48,INR,flight,reseller,74,0.2976,10,16,1,mobile,0,1
47,GD61339880,Leela Keer,Chandigarh → Patna,Chandigarh,Patna,2026-05-07,2026-04-20,Sleeper,S19,1948.38,INR,bus,official_website,17,2.0296,5,100,8,desktop,0,0
48,JR01665095,Faras Yohannan,Mysore → Delhi,Mysore,Delhi,2026-03-28,2026-02-28,AC Seater,S38,5710.51,INR,bus,official_website,28,2.4828,2,71,4,desktop,0,0
49,GP23662399,Gabriel Majumdar,Kochi → Bhopal,Kochi,Bhopal,2026-03-07,2025-12-23,Sleeper,S29,2141.4,INR,bus,official_website,74,1.9736,2,70,4,tablet,1,0
50,OM51025367,Upasna Lanka,Jaipur → Chandigarh,Jaipur,Chandigarh,2027-01-25,2026-11-23,AC 2 Tier,37C,1301.01,INR,train,official_website,63,2.4547,1,105,1,tablet,0,0
51,GP71713723,Aryan Raj,Jodhpur → Kochi,Jodhpur,Kochi,2026-07-09,2026-05-08,Business,2F,15113.88,INR,flight,official_website,62,10.3378,2,107,10,mobile,0,0
52,XC82717834,Libni Sant,Surat → Udaipur,Surat,Udaipur,2026-10-01,2026-09-30,Economy,18B,5628.53,INR,flight,official_website,1,5.9373,4,105,4,mobile,0,0
53,VB45941909,Jacob Khare,Lucknow → Bhopal,Lucknow,Bhopal,2026-09-03,2026-08-03,General,2B,451.07,INR,train,official_website,31,0.5132,5,58,2,desktop,0,0
54,NP47781886,Lucky Kibe,Nagpur → Hyderabad,Nagpur,Hyderabad,2027-02-24,2026-12-29,AC Seater,S46,1303.87,INR,bus,official_app,57,2.661,2,43,10,tablet,0,0
55,#D4B223,Ethan Sha,Bhopal → Mumbai,Bhopal,Mumbai,2026-10-19,2026-10-06,Economy,27C,4683.66,INR,flight,official_website,13,6.0047,7,94,1,desktop,0,1
56,XD62958900,Chakrika Nagy,Mangalore → Chandigarh,Mangalore,Chandigarh,2026-07-24,2026-07-23,General,S4,734.02,INR,bus,reseller,1,2.0503,8,104,2,mobile,0,1
57,EW59207389,Upkaar Reddy,Hyderabad → Udaipur,Hyderabad,Udaipur,2025-05-30,2025-04-09,AC 3 Tier,9D,1524.28,INR,train,official_website,51,1.8039,5,81,3,tablet,0,0
58,PH37447555,Advika Nadkarni,Indore → Kolkata,Indore,Kolkata,2027-01-19,2026-11-20,Business,15D,9473.54,INR,flight,official_website,60,11.4002,3,119,10,tablet,0,0
59,EI49459335,Hemang Choudhary,Mysore → Kochi,Mysore,Kochi,2026-01-15,2026-01-13,AC 2 Tier,S35,608.01,INR,bus,reseller,2,1.2667,1,26,5,desktop,1,1
60,AK62316780,Aarush Nayar,Coimbatore → Pune,Coimbatore,Pune,2026-01-14,2026-01-19,Business,30F,10106.47,INR,flight,official_app,-5,11.2169,4,15,3,desktop,1,1
61,HH35541371,Tanmayi Jayaraman,Chandigarh → Kochi,Chandigarh,Kochi,2025-09-01,2025-06-07,AC Seater,S22,944.95,INR,bus,official_website,86,2.5539,4,69,3,tablet,0,0
62,MO38027355,Netra Bir,Kolkata → Surat,Kolkata,Surat,2025-05-28,2025-04-19,Sleeper,52A,733.49,INR,train,official_website,39,0.9819,1,116,5,mobile,0,0
63,WS92353157,Bahadurjit Bumb,Pune → Agra,Pune,Agra,2026-09-04,2026-07-28,Sleeper,S19,140.95,INR,bus,dark_web,38,0.3421,19,4,2,unknown,1,1
64,KM02424526,Aarini Chhabra,Ranchi → Thiruvananthapuram,Ranchi,Thiruvananthapuram,2027-01-30,2026-12-11,Sleeper,S49,1277.72,INR,bus,official_app,50,1.9243,5,53,7,desktop,0,0
65,UF90540953,Meghana Narain,Patna → Visakhapatnam,Patna,Visakhapatnam,2026-08-26,2026-08-01,General,37A,57.93,INR,train,dark_web,25,0.0901,18,14,2,unknown,1,1
66,WY16912402,Zayan Yadav,Patna → Surat,Patna,Surat,2026-11-30,2026-09-02,Economy,19D,5162.42,INR,flight,reseller,89,5.9338,4,51,4,desktop,0,1
67,TS58510564,Charvi Dara,Thiruvananthapuram → Lucknow,Thiruvananthapuram,Lucknow,2026-04-30,2026-03-23,AC Sleeper,S21,4447.03,INR,bus,official_website,38,2.9826,2,95,10,desktop,0,0
68,NX23462773,Jeevika Bandi,Patna → Bhopal,Patna,Bhopal,2026-06-18,2026-03-26,General,14A,688.12,INR,train,official_website,84,0.5281,3,45,8,mobile,1,0
69,KZ06606938,Madhavi Madan,Mumbai → Ranchi,Mumbai,Ranchi,2025-09-14,2025-07-25,Economy,6A,9274.68,INR,flight,official_website,51,5.4557,3,42,3,desktop,0,0
70,KN06059741,Rajeshri Kashyap,Udaipur → Kolkata,Udaipur,Kolkata,2025-08-11,2025-06-30,Sleeper,15C,880.19,INR,train,official_app,42,0.8741,3,89,2,tablet,0,0
71,HJ14068514,Ronith Ahluwalia,Chennai → Hyderabad,Chennai,Hyderabad,2026-02-24,2025-12-13,AC 3 Tier,31B,1084.82,INR,train,official_website,73,1.8704,1,78,2,mobile,1,1
72,FW30207506,Nicholas Raj,Mysore → Amritsar,Mysore,Amritsar,2025-05-03,2025-04-15,Sleeper,S47,1955.8,INR,bus,official_website,18,2.0806,1,80,7,desktop,0,0
73,PR91640551,Wyatt Balakrishnan,Udaipur → Surat,Udaipur,Surat,2026-03-18,2026-02-01,AC Seater,8D,3012.91,INR,flight,reseller,45,6.7403,4,44,1,mobile,0,1
74,ZQ67501830,Aradhana Nair,Agra → Delhi,Agra,Delhi,2026-09-30,2026-07-29,Business,21E,3792.1,INR,flight,official_website,63,18.9605,1,93,5,desktop,0,0
75,FS10449281,Lopa Kapadia,Ahmedabad → Bhopal,Ahmedabad,Bhopal,2026-12-23,2026-12-15,AC 2 Tier,56D,3693.71,INR,train,official_website,8,2.5025,8,110,5,desktop,0,1
76,SY60812792,Rehaan Butala,Indore → Ahmedabad,Indore,Ahmedabad,2026-06-11,2026-07-09,AC Sleeper,S8,1246.93,INR,bus,reseller,-28,2.9689,4,9,3,tablet,1,1
77,WY09645177,Hitesh Parikh,Jodhpur → Chandigarh,Jodhpur,Chandigarh,2025-08-04,2025-05-23,Economy,30E,7135.58,INR,flight,official_website,73,5.6767,4,57,8,desktop,0,0
78,OI75178627,Quincy Mann,Varanasi → Kolkata,Varanasi,Kolkata,2025-10-10,2025-07-14,Sleeper,S22,1384.61,INR,bus,official_website,88,2.0362,4,77,4,tablet,0,0
79,NL70579965,Amaira Amble,Udaipur → Bangalore,Udaipur,Bangalore,2026-10-16,2026-08-14,First Class,24D,6150.18,INR,train,official_app,63,3.5144,2,79,1,tablet,0,0
80,PE07989981,Nandini Chokshi,Kolkata → Mysore,Kolkata,Mysore,2030-08-25,2025-06-22,Sleeper,48C,848.76,INR,train,official_app,1890,0.9881,9,15,5,mobile,0,1
81,TI48437258,Lajita Trivedi,Indore → Bhubaneswar,Indore,Bhubaneswar,2025-10-08,2025-07-14,AC Seater,S22,1796.87,INR,bus,official_app,86,2.4315,3,32,1,tablet,0,0
82,WJ20331711,Pratyush Das,Chennai → Kolkata,Chennai,Kolkata,2025-02-13,2025-01-30,General,S37,2015.53,INR,bus,official_app,14,1.2215,4,65,3,desktop,0,0
83,SO63241135,Pahal Borde,Indore → Lucknow,Indore,Lucknow,2025-06-23,2025-06-15,Sleeper,23D,1281.16,INR,train,official_app,8,1.0136,2,47,5,mobile,0,0
84,BABB,Praneel Borde,Jodhpur → Mysore,Jodhpur,Mysore,2026-04-23,2026-02-28,Sleeper,S38,2564.21,INR,bus,reseller,54,2.0949,5,6,2,tablet,1,1
85,JD04264240,Radha Ahluwalia,Patna → Thiruvananthapuram,Patna,Thiruvananthapuram,2026-09-05,2026-06-20,AC Seater,S43,954.77,INR,bus,official_app,77,2.7674,3,100,7,mobile,0,0
86,GS05302662,Vedhika Borde,Chandigarh → Surat,Chandigarh,Surat,2026-04-29,2026-03-21,Business,23B,54601.12,INR,flight,reseller,39,268.971,1,64,5,desktop,1,1
87,DX09987905,Waida Chaudhari,Agra → Mangalore,Agra,Mangalore,2025-04-04,2025-05-03,Business,4B,10288.53,INR,flight,official_app,-29,11.2198,3,52,2,desktop,0,1
88,IG75796822,Faqid Dhaliwal,Jodhpur → Agra,Jodhpur,Agra,2026-01-15,2025-11-02,AC 2 Tier,18D,1195.82,INR,train,official_app,74,2.6282,2,43,6,tablet,1,0
89,1111111111,Lopa Chaudhary,Mumbai → Surat,Mumbai,Surat,2026-12-11,2026-11-13,Economy,6D,2084.3,INR,flight,official_app,28,7.4439,4,103,1,unknown,0,1
90,TP30687345,Charan Mukhopadhyay,Patna → Amritsar,Patna,Amritsar,2025-03-28,2025-01-16,Sleeper,35D,104.78,INR,train,official_website,71,0.1241,7,29,2,mobile,0,1
91,MP11539095,Neel Karan,Udaipur → Lucknow,Udaipur,Lucknow,2030-03-20,2026-06-26,Business,2C,4337.78,INR,flight,reseller,1363,16.369,10,91,3,desktop,1,1
92,KI51908792,Bina Chahal,Hyderabad → Thiruvananthapuram,Hyderabad,Thiruvananthapuram,2026-12-06,2026-11-23,General,S33,1138.76,INR,bus,official_website,13,1.1433,5,101,1,mobile,0,0
93,KP96417881,Azad Dyal,Patna → Lucknow,Patna,Lucknow,2026-11-15,2026-09-15,Sleeper,S42,879.92,INR,bus,official_app,61,2.1203,2,91,10,desktop,0,0
94,WI64583315,Lucky Khosla,Nagpur → Surat,Nagpur,Surat,2025-05-09,2025-05-06,Sleeper,S49,2697.49,INR,bus,official_website,3,2.0086,4,119,3,mobile,0,0
95,JO89449573,Turvi Sanghvi,Bhubaneswar → Amritsar,Bhubaneswar,Amritsar,2025-11-05,2025-09-16,AC Sleeper,S36,26972.43,INR,bus,official_app,50,31.3998,5,73,2,mobile,1,1
96,MV87064658,Girish Bhatt,Delhi → Nagpur,Delhi,Nagpur,2026-03-15,2025-12-19,Economy,4A,6577.55,INR,flight,official_app,86,5.6703,3,84,10,tablet,0,0
97,JM16658582,Logan Salvi,Thiruvananthapuram → Jodhpur,Thiruvananthapuram,Jodhpur,2025-06-30,2025-04-11,General,S17,92.45,INR,bus,official_website,80,0.0672,8,104,4,mobile,0,1
98,WH64265046,Vedhika Varty,Patna → Indore,Patna,Indore,2026-10-03,2026-08-04,AC Seater,S10,643.48,INR,bus,official_website,60,3.0353,2,86,3,mobile,0,0
99,LZ55801363,Parth Khanna,Varanasi → Delhi,Varanasi,Delhi,2025-06-20,2025-05-12,General,S6,1658.34,INR,bus,official_app,39,2.0224,6,46,1,unknown,1,1
100,QK91239162,Atharv Mane,Mumbai → Indore,Mumbai,Indore,2025-06-01,2025-05-10,AC 3 Tier,16D,1081.34,INR,train,official_website,22,1.8328,5,86,8,desktop,0,0
101,SV33741707,Shivansh Saini,Amritsar → Chennai,Amritsar,Chennai,2026-06-26,2026-06-10,Business,10E,9969.67,INR,flight,official_app,16,11.2145,3,104,2,tablet,0,0
102,FR76735940,Nilima Bajaj,Goa → Kolkata,Goa,Kolkata,2026-04-17,2026-04-09,First Class,32B,3830.45,INR,train,official_app,8,3.4886,2,59,2,mobile,0,0
103,1169565679,Chaman Mohanty,Coimbatore → Mumbai,Coimbatore,Mumbai,2025-04-07,2025-02-21,Sleeper,S13,2229.21,INR,bus,reseller,45,1.9384,1,95,1,tablet,1,1
104,#C4CCCD,Saanvi Gara,Udaipur → Bhubaneswar,Udaipur,Bhubaneswar,2025-03-28,2025-02-03,Economy,5B,3054.24,INR,flight,official_app,53,6.9732,10,22,5,tablet,1,1
105,JH30088789,Lakshit More,Jodhpur → Indore,Jodhpur,Indore,2025-10-17,2025-09-08,Sleeper,18D,1371.46,INR,train,official_website,39,0.9917,5,99,1,tablet,0,0
106,SF61483396,Janani Dewan,Chandigarh → Visakhapatnam,Chandigarh,Visakhapatnam,2025-03-04,2025-03-03,General,S16,1056.92,INR,bus,official_website,1,1.3032,2,100,4,mobile,1,0
107,TV15272935,Sanya Gopal,Bangalore → Jodhpur,Bangalore,Jodhpur,2030-09-30,2025-01-20,Sleeper,S27,4052.7,INR,bus,reseller,2079,1.9769,4,16,2,mobile,0,1
108,NV53397116,Ekiya Kar,Agra → Ahmedabad,Agra,Ahmedabad,2026-06-12,2026-04-01,Economy,11A,2611.09,INR,flight,official_website,72,7.1931,5,85,2,mobile,0,0
109,TM45175281,Bina Palla,Jaipur → Amritsar,Jaipur,Amritsar,2026-04-27,2026-03-01,Economy,13F,1107.42,INR,flight,dark_web,57,1.7862,18,2,3,unknown,1,1
110,SC21616557,Aarna Thaker,Kolkata → Chandigarh,Kolkata,Chandigarh,2026-10-28,2026-11-23,Business,9C,6736.67,INR,flight,official_website,-26,12.6868,5,39,1,tablet,1,1
111,RZ33727192,Veda Kulkarni,Mumbai → Amritsar,Mumbai,Amritsar,2025-09-15,2025-07-28,Business,30E,17998.02,INR,flight,official_website,49,10.1112,3,102,4,tablet,0,0
112,VZ89248631,Lucky Lad,Patna → Coimbatore,Patna,Coimbatore,2026-07-02,2026-06-17,General,S6,943.26,INR,bus,official_website,15,1.2411,1,82,6,desktop,0,0
113,JH28119961,Wakeeta Bora,Delhi → Mumbai,Delhi,Mumbai,2025-04-03,2025-01-10,General,10D,680.15,INR,train,official_website,83,0.4858,4,52,5,mobile,1,0
114,BR91260646,Abeer Naik,Amritsar → Goa,Amritsar,Goa,2026-01-08,2025-12-22,General,25B,12.6,INR,train,official_website,17,0.0313,1,62,5,desktop,0,1
115,GT43207570,Neel Sachdeva,Indore → Kochi,Indore,Kochi,2026-07-14,2026-06-02,General,36B,134.65,INR,train,official_website,42,0.362,2,100,5,mobile,1,1
116,YB39561439,Bhavika Seth,Goa → Bhopal,Goa,Bhopal,2025-10-10,2025-08-09,Business,27D,11511.89,INR,flight,official_app,62,10.9014,2,116,5,mobile,0,0
117,OT06597887,Wridesh Chhabra,Mangalore → Agra,Mangalore,Agra,2025-07-30,2025-07-16,Sleeper,S50,102.11,INR,bus,official_website,14,0.1082,5,50,4,mobile,1,1
118,OB17424852,Kavya Sampath,Mangalore → Kochi,Mangalore,Kochi,2030-03-07,2025-06-12,General,18B,250.7,INR,train,official_website,1729,0.5571,2,29,3,desktop,1,1
119,1111111111,Chatresh Deo,Bhubaneswar → Bangalore,Bhubaneswar,Bangalore,2026-09-11,2026-06-25,Economy,7E,8703.83,INR,flight,official_website,78,5.4399,9,65,2,tablet,0,1
120,WG66597413,Damyanti Reddy,Surat → Pune,Surat,Pune,2025-04-09,2025-02-14,General,S41,1171.42,INR,bus,official_website,54,1.2279,5,95,1,desktop,0,0
121,OV82064057,Aditya Bandi,Pune → Hyderabad,Pune,Hyderabad,2027-03-02,2026-12-07,Business,21A,1343.14,INR,flight,dark_web,85,2.3564,17,3,5,unknown,1,1
122,1111111111,Unni Ghose,Varanasi → Kolkata,Varanasi,Kolkata,2025-12-27,2025-12-03,Economy,7D,4180.22,INR,flight,official_website,24,6.1474,7,42,4,unknown,1,1
123,EG46353091,Rehaan Yohannan,Visakhapatnam → Agra,Visakhapatnam,Agra,2026-06-03,2026-03-08,AC 3 Tier,S17,932.01,INR,bus,official_app,87,1.2443,3,12,5,mobile,1,1
124,MF64460826,Yuvraj Dani,Bangalore → Coimbatore,Bangalore,Coimbatore,2026-08-04,2026-05-26,AC 3 Tier,27A,706.5,INR,train,official_website,70,1.9625,2,37,6,mobile,0,0
125,PT72839947,Ekbal Mangat,Chandigarh → Bhubaneswar,Chandigarh,Bhubaneswar,2025-07-12,2025-06-20,AC Seater,S39,1688.72,INR,bus,official_website,22,2.5356,10,80,2,desktop,1,1
126,XF49983405,Caleb Bhavsar,Agra → Amritsar,Agra,Amritsar,2030-04-19,2026-06-24,AC Seater,S42,3086.2,INR,bus,official_app,1395,2.5071,1,32,5,tablet,0,1
127,NO21887643,Chaman Kanda,Jaipur → Mangalore,Jaipur,Mangalore,2025-07-03,2025-04-13,AC 3 Tier,58B,2365.77,INR,train,official_website,81,1.7721,3,79,7,mobile,0,0
128,HW50213794,Shaurya Naidu,Ranchi → Indore,Ranchi,Indore,2026-01-25,2025-11-23,AC Sleeper,S14,325.1,INR,bus,reseller,63,0.2705,9,92,3,tablet,0,1
129,IW21966028,Nikita Vohra,Chennai → Goa,Chennai,Goa,2025-07-27,2025-06-08,General,40C,504.53,INR,train,official_website,49,0.5425,5,98,8,mobile,0,0
130,VM82802955,Osha Prashad,Hyderabad → Bhubaneswar,Hyderabad,Bhubaneswar,2026-12-11,2026-11-28,Sleeper,S11,306.79,INR,bus,dark_web,13,0.3068,24,7,5,unknown,1,1
131,TV56871976,Sara Raghavan,Udaipur → Kochi,Udaipur,Kochi,2025-04-28,2025-04-07,First Class,18B,4651.45,INR,train,official_app,21,3.5426,2,55,5,mobile,1,1
132,CA77339033,Akshay Narasimhan,Delhi → Varanasi,Delhi,Varanasi,2026-05-04,2026-04-15,Sleeper,4A,4917.2,INR,flight,official_app,19,5.9966,8,111,1,tablet,0,1
133,ZW19904704,Triya Dey,Mangalore → Hyderabad,Mangalore,Hyderabad,2030-04-04,2025-09-29,Economy,11E,5627.41,INR,flight,reseller,1648,5.8864,7,33,2,mobile,1,1
134,AA68012984,Gagan Kale,Mysore → Patna,Mysore,Patna,2025-10-04,2025-08-01,General,4D,664.74,INR,train,official_website,64,0.5047,4,120,9,tablet,1,0
135,GJ47742787,Charita Suresh,Chandigarh → Bangalore,Chandigarh,Bangalore,2026-06-04,2026-03-18,Sleeper,S26,5133.65,INR,bus,official_app,78,2.0132,2,66,2,desktop,0,0
136,YW47089600,Yashasvi Mahal,Delhi → Visakhapatnam,Delhi,Visakhapatnam,2026-08-17,2026-07-20,First Class,62D,6052.15,INR,train,official_app,28,3.4984,3,95,1,mobile,0,0
137,SM45607910,Yashoda Prabhakar,Coimbatore → Lucknow,Coimbatore,Lucknow,2026-09-21,2026-08-08,Sleeper,55B,533.87,INR,train,official_website,44,0.9333,4,33,7,desktop,0,0
138,UB44699278,Tejas Tara,Amritsar → Delhi,Amritsar,Delhi,2025-06-11,2025-04-07,Business,21D,323.46,INR,flight,official_app,65,0.7188,4,91,4,mobile,1,1
139,NG02921439,Yamini Srivastava,Bhopal → Lucknow,Bhopal,Lucknow,2025-03-21,2025-03-04,General,S23,95.59,INR,bus,dark_web,17,0.1835,10,2,2,unknown,0,1
